id,count
投诉.政府服务.农村管理.乱占耕地.others,1278
投诉.政府服务.交通.公交行管.c-1242,2914
投诉.政府服务.交通.交通事故,1806
投诉.公共服务.路灯.c-17367,4793
投诉.政府服务.环境污染.噪音污染,2444
投诉.公共服务.供电.c-10965,1869
投诉.政府服务.交通.停车管理.c-12187,1188
投诉.政府服务.水务.水利建设.others,353
投诉.政府服务.交通.船舶检验,1
投诉.政府服务.医疗卫生.资格考试.others,109
投诉.政府服务.农村管理.土地承包,3265
投诉.政府服务.环境污染.噪音污染.others,2444
投诉.政府服务.交通.出租行管.c-4490,17677
投诉.政府服务.户口.积分落户.c-8320,2538
投诉.政府服务.消费维权.直销、传销.others,2291
投诉.政府服务.民政.社团管理.others,86
投诉.政府服务.医疗卫生.医院管理.others,2879
投诉.公共服务.供暖.c-6683,56221
投诉.公共服务.供气.others,5499
投诉.公共服务.供电,14874
投诉.政府服务.民政.殡葬管理,543
投诉.公共服务.公交.others,5766
投诉.政府服务.水务.排水防汛.c-16653,7572
投诉.政府服务.交通.违法违章.c-8579,1533
投诉.政府服务.交通.汽修行管,95
投诉.政府服务.城市管理.市容环卫.c-19097,1209
投诉.政府服务.环境污染.大气污染,67750
投诉.政府服务.交通.路政执法.others,349
投诉.政府服务.消费维权.违法经营.c-16270,1318
投诉.政府服务.食品药品.化妆品,143
投诉.政府服务.户口.出生落户,1569
投诉.政府服务.交通.机动车维修.others,21
投诉.政府服务.城市管理.市容环卫.c-18949,1414
投诉.政府服务.水务.排水防汛.c-16719,4511
投诉.政府服务.民政.社会福利与老龄工作,985
投诉.政府服务.社会治安.养犬管理,881
投诉.公共服务.井盖.c-10737,8006
投诉.政府服务.食品药品.药品,956
投诉.政府服务.住房.权属登记.c-7378,4811
投诉.政府服务.交通.运政执法,33
投诉.政府服务.城市管理.占路经营.others,8724
投诉.公共服务.供水.others,5739
投诉.公共服务.邮电服务.电信类.others,3622
投诉.政府服务.消费维权.合同违法.c-11284,17164
投诉.政府服务.水务.河道.others,112
投诉.政府服务.住房.物业管理.c-20480,5094
投诉.政府服务.城市管理.人为污染,40494
投诉.政府服务.施工扰民.白天施工扰民,286
投诉.政府服务.道桥.市政道路.others,7456
投诉.政府服务.住房.房产证.others,275
投诉.政府服务.城市管理.人为污染.c-5359,1426
投诉.政府服务.城市管理.人为污染.c-5056,2470
投诉.公共服务.路灯.others,4365
投诉.政府服务.施工扰民.夜间施工扰民.others,417
投诉.政府服务.交通.公路规划立项,31
投诉.政府服务.住房.物业管理.c-20479,2505
投诉.政府服务.住房.房屋管理.others,12191
投诉.政府服务.民政.社会救助,5621
投诉.公共服务.井盖.c-10671,3471
投诉.政府服务.农村管理.集体资金,1288
投诉.政府服务.住房.房屋管理,42908
投诉.政府服务.交通.公交行管.others,1584
投诉.政府服务.农村管理.土地承包.others,1253
投诉.政府服务.城市管理.违章建筑.c-15042,3158
投诉.政府服务.教育.升学、入学、入园.c-320,5882
投诉.政府服务.交通.水运管理,18
投诉.政府服务.户口.投靠落户.others,144
投诉.政府服务.交通.轨道交通.others,468
投诉.公共服务.供气,8657
投诉.政府服务.环境污染.大气污染.c-10157,8999
投诉.政府服务.城市管理.市容环卫.others,27557
投诉.政府服务.户口.出入境业务.others,23
投诉.公共服务.公交.c-9055,6997
投诉.政府服务.户口.变更、恢复、注销户口,3482
投诉.政府服务.住房.公租房、经济适用房、限价房,159
投诉.政府服务.消费维权,120811
投诉.公共服务.供水,32347
投诉.公共服务.供暖.c-6673,1586
投诉.政府服务.社会治安.案件,2008
投诉.政府服务.住房.权属登记.c-7379,3980
投诉.政府服务.医疗卫生.非法行医.others,626
投诉.政府服务.民政.优抚安置.others,424
投诉.政府服务.交通.停车管理.c-12232,10100
投诉.政府服务.交通.公路养护.others,1872
投诉.公共服务.邮电服务.广电.others,563
投诉.政府服务.城市管理.违章建筑.c-15035,2938
投诉.政府服务.道桥.桥梁.others,2240
投诉.政府服务.社会治安.案件.c-4265,1268
投诉.政府服务.交通.高速管理.others,673
投诉.政府服务.城市管理.市容环卫.c-19064,1502
投诉.政府服务.施工扰民.夜间施工扰民.c-6294,2267
投诉.公共服务.邮电服务.邮政,5128
投诉.政府服务.教育.学校收费,1650
投诉.政府服务.交通.港口管理,10
投诉.政府服务.交通.长客管理,492
投诉.政府服务.消费维权.消费卡.c-3225,5860
投诉.政府服务.户口.变更、恢复、注销户口.c-4180,2603
投诉.政府服务.环境污染,111054
投诉.政府服务.食品药品,9318
投诉.政府服务.户口.迁往外省.others,333
投诉.政府服务.社会治安.群体事件.others,15
投诉.政府服务.农村管理.农业灌溉,1227
投诉.政府服务.农村管理,22895
投诉.政府服务.农村管理.集体资金.others,1288
投诉.政府服务.城市管理.人为污染.c-5314,1232
投诉.公共服务.邮电服务.广电.c-16791,3714
投诉.公共服务,308684
投诉.政府服务.食品药品.食品.others,2027
投诉.政府服务.城市管理.人为污染.c-5319,1595
投诉.政府服务.户口.投靠落户,2577
投诉.政府服务.城市管理.违章建筑.c-15017,1521
投诉.政府服务,1002202
投诉.政府服务.民政.基层政权和社区建设.others,4463
投诉.政府服务.消费维权.不正当竞争.others,827
投诉.政府服务.城市管理.占路经营.c-21104,38232
投诉.政府服务.民政.优抚安置.c-15827,2140
投诉.政府服务.医疗卫生.卫生监督.others,474
投诉.政府服务.户口.迁往外省,333
投诉.政府服务.消费维权.违法经营,16371
投诉.政府服务.户口.居住证,1170
投诉.政府服务.住房.公租房、经济适用房、限价房.others,159
投诉.政府服务.交通.停车场管理,1628
投诉.政府服务.住房.房屋管理.c-1833,2304
投诉.政府服务.户口.投靠落户.c-13542,2433
投诉.政府服务.消费维权.不正当竞争,827
投诉.政府服务.城市管理.人为污染.c-5167,1258
投诉.政府服务.城市管理.人为污染.c-5165,3150
投诉.政府服务.交通.车辆管理.c-12678,5641
投诉.政府服务.城市管理.人为污染.c-5169,2596
投诉.政府服务.民政.殡葬管理.others,543
投诉.政府服务.交通.路政执法,349
投诉.公共服务.路灯.c-17373,18871
投诉.政府服务.住房.困难.others,94
投诉.公共服务.邮电服务.邮政.c-14525,4460
投诉.政府服务.社会治安.其他,376
投诉.政府服务.民政.社会救助.others,628
投诉.政府服务.交通.路网服务.others,34
投诉.政府服务.交通.驾驶人管理.c-11925,2094
投诉.政府服务.环境污染.大气污染.c-10029,3822
投诉.公共服务.供暖.c-6731,4098
投诉.政府服务.环境污染.固体废物污染,6922
投诉.政府服务.交通.停车管理.c-12175,4356
投诉.政府服务.农村管理.占地拆迁,136
投诉.政府服务.住房.公积金,8
投诉.公共服务.井盖.others,3939
投诉.政府服务.住房.住房保障.others,4625
投诉.政府服务.交通.港口管理.others,10
投诉.政府服务.交通.水运管理.others,18
投诉.公共服务.供电.others,5395
投诉.公共服务.邮电服务.电信类.c-15325,2574
投诉.政府服务.消费维权.合同违法,23647
投诉.政府服务.住房.住房保障.c-7693,9430
投诉.政府服务.户口.出生落户.c-12276,1438
投诉.政府服务.食品药品.医疗器械,66
投诉.公共服务.邮电服务.电信类.c-15286,1604
投诉.政府服务.水务.排水防汛.c-16700,1642
投诉.政府服务.户口.身份证.others,1224
投诉.政府服务.交通.道路运输,3059
投诉.政府服务.交通.车辆管理.c-13173,1479
投诉.政府服务.农村管理.征地补偿.others,868
投诉.政府服务.医疗卫生.卫生防疫,736
投诉.政府服务.医疗卫生.资格考试,109
投诉.政府服务.城市管理.市容环卫.c-19150,18279
投诉.政府服务.城市管理.违章建筑,58841
投诉.政府服务.水务.河道管理,1745
投诉.政府服务.交通.小客车调控,2950
投诉.政府服务.城市管理.人为污染.c-5437,5019
投诉.政府服务.消费维权.商品质量.c-18256,4803
投诉.公共服务.出租车,60507
投诉.政府服务.城市管理.市容环卫.c-18872,5445
投诉.政府服务.教育.学校管理.others,7492
投诉.政府服务.社会治安.人为噪声,7051
投诉.政府服务.消费维权.others,6402
投诉.政府服务.城市管理.违法经营,8391
投诉.政府服务.户口.积分落户.others,493
投诉.政府服务.交通.停车场管理.others,1628
投诉.政府服务.消费维权.消费卡,13700
投诉.政府服务.农村管理.承包合同,66
投诉.公共服务.公交,35690
投诉.政府服务.住房.房改,257
投诉.政府服务.食品药品.食品.c-16369,3546
投诉.政府服务.民政.社会福利与老龄工作.others,985
投诉.政府服务.社会治安.养犬管理.others,881
投诉.政府服务.住房.住房保障,14055
投诉.政府服务.道桥.others,802
投诉.政府服务.社会治安.违法行为,2305
投诉.政府服务.消费维权.消费卡.c-3004,4197
投诉.政府服务.户口.进津,80
投诉.政府服务.食品药品.保健食品,322
投诉.政府服务.交通.小客车调控.c-7572,2581
投诉.政府服务.交通.停车管理.others,3642
投诉.政府服务.住房.修缮,1034
投诉.政府服务.住房.公积金.others,8
投诉.政府服务.农村管理.选举问题.others,1133
投诉.政府服务.水务.河道,112
投诉.政府服务.户口.居住证.others,1170
投诉.政府服务.环境污染.大气污染.c-9772,5022
投诉.政府服务.环境污染.大气污染.c-9771,1852
投诉.政府服务.社会治安.其他.others,376
投诉.政府服务.窗口咨询,7370
投诉.政府服务.城市管理.人为污染.c-5131,1220
投诉.政府服务.交通.运政执法.others,33
投诉.政府服务.农村管理.农业灌溉.others,1227
投诉.政府服务.施工扰民.建筑工地施工.c-19846,31033
投诉.政府服务.环境污染.大气污染.c-10011,16095
投诉.政府服务.环境污染.大气污染.c-10010,17196
投诉.政府服务.住房.物业管理.c-20260,4502
投诉.政府服务.水务.排水,918
投诉.公共服务.供电.c-10907,1882
投诉.政府服务.医疗卫生.药品管理.others,1562
投诉.政府服务.住房.修缮.others,1034
投诉.政府服务.农村管理.宅基地.others,2496
投诉.政府服务.农村管理.占地拆迁.others,136
投诉.政府服务.环境污染.水污染,8943
投诉.政府服务.交通.车辆管理.others,19748
投诉.政府服务.交通.停车管理,19286
投诉.政府服务.住房.物业管理.c-20288,13926
投诉.政府服务.教育.招生考试.others,1561
投诉.公共服务.供暖,80320
投诉.政府服务.教育.学校收费.others,1650
投诉.政府服务.教育.升学、入学、入园.others,2635
投诉.政府服务.环境污染.固体废物污染.c-10325,3602
投诉.政府服务.交通.公路规划立项.others,31
投诉.政府服务.医疗卫生.医院管理.c-17853,6906
投诉.政府服务.道桥,21597
投诉.政府服务.施工扰民.市政工程施工.c-7206,7136
投诉.政府服务.住房.房屋管理.c-1776,11963
投诉.政府服务.住房,140415
投诉.政府服务.施工扰民.夜间施工扰民,2684
投诉.政府服务.食品药品.化妆品.others,143
投诉.政府服务.交通.违法违章.c-8496,2885
投诉.公共服务.供气.c-1519,3158
投诉.政府服务.城市管理.园林绿化.others,8404
投诉.政府服务.城市管理.违章建筑.c-14879,1471
投诉.政府服务.户口.市内迁移.others,716
投诉.政府服务.户口,17193
投诉.政府服务.交通.公路养护,1872
投诉.政府服务.交通.车辆管理.c-13130,1383
投诉.政府服务.教育.学校管理.c-15595,1652
投诉.政府服务.医疗卫生.计划生育.others,1515
投诉.政府服务.农村管理.征地补偿.c-11832,1554
投诉.政府服务.消费维权.c-17143,3011
投诉.政府服务.住房.权属登记,13451
投诉.政府服务.食品药品.食品.c-16384,2258
投诉.政府服务.城市管理.人为污染.others,12741
投诉.政府服务.交通.交通设施.c-2645,10357
投诉.政府服务.交通.出租行管,28750
投诉.公共服务.邮电服务.广电,4277
投诉.政府服务.交通.交通设施,18832
投诉.政府服务.医疗卫生.非法行医,626
投诉.政府服务.医疗卫生.医疗服务.c-983,2009
投诉.公共服务.井盖,28368
投诉.政府服务.交通.机动车维修,21
投诉.公共服务.供暖.others,10325
投诉.政府服务.城市管理.违法经营.c-6995,1910
投诉.政府服务.城市管理.市场管理,7490
投诉.政府服务.施工扰民.市政工程施工.others,1084
投诉.政府服务.民政.基层政权和社区建设,4463
投诉.政府服务.环境污染.噪声污染.c-12632,1438
投诉.政府服务.交通.轨道交通,468
投诉.政府服务.环境污染.噪声污染.c-12639,11397
投诉.政府服务.施工扰民.建筑工地施工.c-19809,1217
投诉.政府服务.社会治安,12743
投诉.政府服务.住房.权属登记.others,4660
投诉.政府服务.医疗卫生.证明.others,16
投诉.政府服务.施工扰民.白天施工扰民.others,286
投诉.政府服务.住房.风貌管理,230
投诉.政府服务.环境污染.水污染.c-2896,5354
投诉.政府服务.民政.社会福利事业,120
投诉.政府服务.环境污染.噪声污染.c-12644,4702
投诉.政府服务.农村管理.乱占耕地.c-4133,5775
投诉.政府服务.农村管理.乱占耕地,7053
投诉.政府服务.住房.质量.others,322
投诉.政府服务.住房.物业管理.c-20250,2344
投诉.政府服务.消费维权.违法经营.c-16172,1161
投诉.政府服务.住房.物业管理.c-20259,1551
投诉.政府服务.城市管理.市容环卫.c-18700,3837
投诉.政府服务.农村管理.宅基地.c-80,2262
投诉.公共服务.邮电服务.电信类.c-15333,2687
投诉.政府服务.户口.出入境业务,23
投诉.政府服务.消费维权.服务质量.others,1188
投诉.政府服务.消费维权.商品质量.others,9663
投诉.政府服务.农村管理.选举问题,1133
投诉.公共服务.供水.c-697,1949
投诉.政府服务.住房.物业管理.c-20371,7412
投诉.政府服务.住房.物业管理.c-20373,1938
投诉.政府服务.教育.学校管理,14223
投诉.政府服务.社会治安.烟花爆竹,107
投诉.政府服务.施工扰民.建筑工地施工,35403
投诉.政府服务.食品药品.药品.others,956
投诉.政府服务.城市管理.违章建筑.c-15044,36668
投诉.政府服务.社会治安.违法行为.others,2305
投诉.政府服务.城市管理.市容环卫.c-19164,2336
投诉.政府服务.环境污染.大气污染.others,14764
投诉.政府服务.水务,20182
投诉.政府服务.户口.市内迁移,3704
投诉.政府服务.消费维权.商品质量.c-18261,21542
投诉.公共服务.出租车.others,2830
投诉.政府服务.住房.房产证,275
投诉.政府服务.道桥.市政道路,18555
投诉.政府服务.交通.治超,164
投诉.政府服务.消费维权.服务质量,1188
投诉.政府服务.社会治安.案件.others,740
投诉.政府服务.城市管理.人为污染.c-5232,7787
投诉.政府服务.交通.违法违章,7541
投诉.政府服务.城市管理.违章建筑.c-14989,1175
投诉.政府服务.环境污染.水污染.others,3589
投诉.政府服务.民政.社会救助.c-3439,4993
投诉.政府服务.交通.车辆管理.c-13166,4425
投诉.政府服务.交通.出租行管.c-4493,8009
投诉.政府服务.道桥.桥梁,2240
投诉.政府服务.交通.违法违章.others,3123
投诉.政府服务.食品药品.医疗器械.others,66
投诉.政府服务.住房.市场管理.others,1600
投诉.政府服务.食品药品.食品,7831
投诉.政府服务.消费维权.商品质量.c-18168,3060
投诉.政府服务.消费维权.违法广告,1406
投诉.政府服务.交通.治超.others,164
投诉.公共服务.供暖.c-6870,1365
投诉.公共服务.供暖.c-6871,6725
投诉.政府服务.环境污染.噪声污染.others,4106
投诉.政府服务.户口.变更、恢复、注销户口.others,879
投诉.政府服务.城市管理.占路经营.c-21051,1179
投诉.政府服务.交通.公交行管.c-1223,10599
投诉.政府服务.交通.驾驶人管理,7386
投诉.政府服务.交通.车辆管理.c-12934,2770
投诉.政府服务.社会治安.烟花爆竹.others,107
投诉.政府服务.住房.房屋管理.c-1816,10398
投诉.政府服务.农村管理.乱砍滥伐.others,746
投诉.政府服务.交通.公路收费,29
投诉,1310886
投诉.政府服务.农村管理.乱砍滥伐,746
投诉.政府服务.医疗卫生.医院管理,9785
投诉.政府服务.窗口咨询.others,7370
投诉.政府服务.医疗卫生.医疗服务.others,2165
投诉.政府服务.城市管理.违法经营.others,6481
投诉.政府服务.消费维权.违法广告.others,1406
投诉.政府服务.交通.长客管理.others,492
投诉.政府服务.住房.房改.others,257
投诉.政府服务.交通.公路建设.others,1796
投诉.政府服务.城市管理.市场管理.others,7490
投诉.政府服务.城市管理.违章建筑.others,10652
投诉.政府服务.住房.物业管理.c-20519,3606
投诉.政府服务.交通.出租行管.c-4460,1905
投诉.政府服务.住房.房屋管理.c-2003,2674
投诉.政府服务.医疗卫生.卫生防疫.others,736
投诉.政府服务.消费维权.商品质量,51968
投诉.政府服务.交通.交通设施.others,4905
投诉.公共服务.公交.c-9000,22927
投诉.政府服务.社会治安.人为噪声.others,2680
投诉.政府服务.消费维权.违法经营.c-16001,6372
投诉.政府服务.水务.河道管理.others,1745
投诉.政府服务.农村管理.土地承包.c-6379,2012
投诉.政府服务.道桥.市政道路.c-5791,2015
投诉.政府服务.医疗卫生,18997
投诉.政府服务.道桥.市政道路.c-5794,6206
投诉.政府服务.交通.高速管理,673
投诉.政府服务.城市管理.园林绿化.c-14386,16701
投诉.政府服务.民政.婚姻收养.others,1069
投诉.政府服务.水务.排水防汛.others,3329
投诉.政府服务.城市管理.市容环卫.c-18955,3238
投诉.政府服务.城市管理.占路经营,48135
投诉.政府服务.消费维权.商品质量.c-18232,2161
投诉.政府服务.农村管理.粮食补贴,801
投诉.政府服务.交通.公路建设,1796
投诉.政府服务.教育.升学、入学、入园,8517
投诉.政府服务.户口.身份证,1224
投诉.政府服务.消费维权.合同违法.others,6483
投诉.公共服务.邮电服务.邮政.others,668
投诉.政府服务.水务.排水防汛,17054
投诉.政府服务.交通.公路收费.others,29
投诉.政府服务.住房.风貌管理.others,230
投诉.政府服务.交通.出租行管.others,1159
投诉.公共服务.供水.c-756,5036
投诉.政府服务.民政.婚姻收养,1069
投诉.政府服务.农村管理.粮食补贴.others,801
投诉.政府服务.交通.交通设施.c-2650,3570
投诉.政府服务.交通.路网服务,34
投诉.政府服务.教育,25951
投诉.政府服务.民政.优抚安置,2564
投诉.政府服务.交通.交通事故.others,1806
投诉.政府服务.水务.水利建设,353
投诉.政府服务.住房.物业管理.c-20481,1423
投诉.政府服务.城市管理,259771
投诉.政府服务.交通.船舶检验.others,1
投诉.政府服务.交通.驾驶人管理.c-11905,3287
投诉.政府服务.交通.驾驶人管理.others,2005
投诉.公共服务.出租车.c-3580,3902
投诉.政府服务.民政,15451
投诉.政府服务.城市管理.违章建筑.c-14924,1258
投诉.政府服务.消费维权.违法经营.others,7520
投诉.政府服务.交通.道路运输.others,3059
投诉.政府服务.环境污染.电磁辐射污染,1646
投诉.政府服务.交通.车辆管理,39440
投诉.政府服务.环境污染.噪声污染.c-12650,1706
投诉.公共服务.路灯,28029
投诉.政府服务.医疗卫生.卫生监督,474
投诉.政府服务.民政.社团管理,86
投诉.公共服务.邮电服务,19892
投诉.政府服务.施工扰民,46593
投诉.政府服务.食品药品.保健食品.others,322
投诉.政府服务.医疗卫生.证明,16
投诉.政府服务.交通.公交行管,15097
投诉.政府服务.户口.积分落户,3031
投诉.政府服务.交通,151861
投诉.政府服务.社会治安.人为噪声.c-6014,4371
投诉.公共服务.邮电服务.电信类,10487
投诉.政府服务.交通.汽修行管.others,95
投诉.政府服务.道桥.市政道路.c-5801,2878
投诉.政府服务.消费维权.消费卡.others,3643
投诉.政府服务.环境污染.电磁辐射污染.c-4581,1232
投诉.政府服务.住房.物业管理.others,21721
投诉.政府服务.住房.市场管理,1600
投诉.公共服务.井盖.c-10792,12952
投诉.政府服务.医疗卫生.医疗服务,4174
投诉.政府服务.住房.质量,322
投诉.政府服务.消费维权.商品质量.c-18276,3516
投诉.政府服务.教育.学校管理.c-15549,5079
投诉.政府服务.住房.物业管理,66022
投诉.政府服务.户口.进津.others,80
投诉.政府服务.住房.困难,94
投诉.政府服务.城市管理.市容环卫.c-19194,1723
投诉.政府服务.消费维权.商品质量.c-17948,7223
投诉.政府服务.民政.社会福利事业.others,120
投诉.政府服务.医疗卫生.计划生育,1515
投诉.公共服务.供电.c-11097,1555
投诉.政府服务.水务.排水.others,918
投诉.政府服务.农村管理.宅基地,4758
投诉.公共服务.供水.c-717,13611
投诉.政府服务.户口.市内迁移.c-1333,2988
投诉.公共服务.供水.c-711,6012
投诉.政府服务.交通.小客车调控.others,369
投诉.公共服务.供电.c-11105,4173
投诉.政府服务.环境污染.噪声污染,23349
投诉.政府服务.医疗卫生.药品管理,1562
投诉.政府服务.社会治安.群体事件,15
投诉.政府服务.城市管理.市容环卫.c-18936,2852
投诉.政府服务.城市管理.园林绿化,25105
投诉.政府服务.城市管理.市容环卫.c-18934,1923
投诉.公共服务.出租车.c-3782,28681
投诉.政府服务.农村管理.征地补偿,2422
投诉.政府服务.消费维权.直销、传销,2291
投诉.政府服务.环境污染.电磁辐射污染.others,414
投诉.政府服务.户口.出生落户.others,131
投诉.公共服务.出租车.c-3773,25094
投诉.政府服务.交通.车辆管理.c-12942,3994
投诉.政府服务.施工扰民.市政工程施工,8220
投诉.政府服务.环境污染.固体废物污染.others,3320
投诉.政府服务.住房.房屋管理.c-1809,2022
投诉.政府服务.住房.房屋管理.c-1808,1356
投诉.政府服务.城市管理.市容环卫,71315
投诉.政府服务.施工扰民.建筑工地施工.others,3153
投诉.政府服务.教育.招生考试,1561
投诉.政府服务.农村管理.承包合同.others,66